FR_new	EN_new	DE_new	ES_new	NL_new	SV_new	IT_new	PT_new	RO_new	PL_new	SL_new	CS_new	RU_new	BG_new	ET_new	FI_new	HU_new	NO_new
laisser_V_Trans_Refl	let_V_Trans_Refl	lassen_V_Trans_Refl	dejar_V	laten_V_Trans_Refl	lata_V_Trans_Refl	lasciare_V_Trans_Refl	NA	lasa_sa_V_Trans_Refl	pozwolic_V_Trans_Refl	NA	nechat_aby_Clause_Trans_Refl	NA	ostavjam_da_Clause_Trans_Refl	NA	antaa_V1st_Trans_Refl	NA	la_V_Trans_Refl
laisser_V_Trans_Refl	NA	NA	dejar_V	NA	NA	lasciare_V	deixar_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	la_V_Trans_Refl
NA	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	antaa_V1st	NA	la_V
NA	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	la_V
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V_Trans	have_V_Trans	lassen_V_Trans	hacer_V_Trans	laten_V_Trans_Refl	fa_att_V_Trans	fare_V_Trans	fazer_V_Trans	NA	NA	NA	NA	NA	nakarvam_da_Clause_Trans	NA	NA	NA	NA
faire_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	karam_da_Clause	NA	NA	NA	NA
faire_V_Trans	NA	NA	hacer_V_Trans	NA	NA	fare_V_Trans	fazer_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	let_V	lassen_V	dejar_V	laten_V	lata_V	fare_V	deixar_V	lasa_sa_V	pozwolic_V	NA	NA	NA	davam_da_Clause	NA	NA	NA	la_V
